run,ratio,sampling_time_s,total_time_s
1,962.6293270260438,6.499998562503606e-06,0.025507299997116206
2,173.1255336543927,1.5999976312741637e-06,0.025630299998738337
3,252.6260537783319,1.8999999156221747e-06,0.0264089000011154
4,1851.6232099101187,1.4999968698248267e-06,0.025868400000035763
5,396.51187282398035,1.7999991541728377e-06,0.025625300000683637
6,353.89842121969974,1.6000012692529708e-06,0.026361100000940496
7,2468.5755506502323,1.5999976312741637e-06,0.026682499999878928
8,1102.1197385358328,1.8999999156221747e-06,0.02503449999858276
9,1309.1093381369983,1.6000012692529708e-06,0.02972760000193375
10,254.78830784578597,1.7000020307023078e-06,0.0336423000007926
11,1125.2482910505043,2.2000021999701858e-06,0.02418960000068182
12,522.3435101403813,2.1000014385208488e-06,0.025581800000509247
13,2486.8185081382444,2.1999985619913787e-06,0.027351199998520315
14,2679.4309983658895,1.6999983927235007e-06,0.02734299999792711
15,832.3729753900072,1.8000027921516448e-06,0.024876499999663793
16,976.5480146074968,2.0000006770715117e-06,0.024319899999682093
17,2040.275935676191,1.7999991541728377e-06,0.02592699999877368
18,376.00807656628837,1.7999991541728377e-06,0.02473939999981667
19,2693.410075203529,1.8999999156221747e-06,0.02706160000161617
20,82.98430818202834,1.7000020307023078e-06,0.026005800002167234
21,1766.6120638191564,1.6999983927235007e-06,0.03664279999793507
